id:ID,name,前悬架类型,后悬架类型,助力类型,车体结构
2366,底盘转向,,全渐变式钢板弹簧非独立悬架,液压助力,非承载式
2367,底盘转向,,多连杆式独立悬架,电动助力,承载式
2368,底盘转向,,全渐变式钢板弹簧非独立悬架,电动助力,非承载式
2369,底盘转向,,全渐变式钢板弹簧非独立悬架,液压助力,非承载式
2370,底盘转向,,全渐变式钢板弹簧非独立悬架,未知,非承载式
2371,底盘转向,,钢板弹簧非独立悬架,液压助力,承载式
2372,底盘转向,,全渐变式钢板弹簧非独立悬架,未知,非承载式
2373,底盘转向,,全渐变式钢板弹簧非独立悬架,液压助力,非承载式
2374,底盘转向,,非独立悬架,液压助力,承载式
2375,底盘转向,,全渐变式钢板弹簧非独立悬架,液压助力,非承载式
2376,底盘转向,,全渐变式钢板弹簧非独立悬架,电动助力,非承载式
2377,底盘转向,,钢板弹簧非独立悬架,液压助力,承载式
2378,底盘转向,,钢板弹簧非独立悬架,液压助力,承载式
2379,底盘转向,,钢板弹簧非独立悬架,液压助力,承载式
2380,底盘转向,,多连杆式独立悬架,电动助力,承载式
2381,底盘转向,,多连杆式独立悬架,电动助力,承载式
2382,底盘转向,,全渐变式钢板弹簧非独立悬架,液压助力,非承载式
2383,底盘转向,,全渐变式钢板弹簧非独立悬架,电动助力,非承载式
2384,底盘转向,,多连杆式独立悬架,电动助力,承载式
2385,底盘转向,,全渐变式钢板弹簧非独立悬架,液压助力,非承载式
2386,底盘转向,,全渐变式钢板弹簧非独立悬架,电动助力,非承载式
2387,底盘转向,,钢板弹簧非独立悬架,液压助力,承载式
